Year,RoundNumber,QualyPos,GridPosition,RacePos,Points,Laps,Q1_seconds,Q2_seconds,Q3_seconds,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,driver_avg_points_last_3,driver_avg_finish_pos_last_3,driver_avg_qualy_pos_last_3,driver_championship_points_before_race,driver_total_dnfs_season
2024,6,9,9,11,0.0,57.0,88.383,88.2,88.146,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,10.0,12.333333333333334,1842.0,33
2024,6,10,10,7,6.0,57.0,88.324,88.167,88.192,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3333333333333335,12.0,12.333333333333334,2320.0,46
2024,6,11,11,17,0.0,57.0,88.177,88.222,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.6666666666666665,11.0,12.0,914.0,25
2024,6,12,12,12,0.0,57.0,87.976,88.324,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,14.0,16.333333333333332,2141.0,37
2024,6,13,13,10,1.0,57.0,88.209,88.371,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,14.0,14.333333333333334,575.0,13
2024,6,14,14,18,0.0,57.0,88.343,88.413,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,14.333333333333334,13.333333333333334,0.0,1
2024,6,15,15,9,2.0,57.0,88.453,88.427,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.333333333333333,7.0,6.0,629.0,14
2024,6,16,16,16,0.0,57.0,88.463,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,16.0,12.0,2313.0,45
2024,6,17,17,20,0.0,27.0,88.487,999.0,999.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,16.0,19.333333333333332,1447.0,30
2024,6,18,20,15,0.0,57.0,88.617,999.0,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,16.333333333333332,13.666666666666666,568.0,13
2024,6,19,18,19,0.0,57.0,88.619,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,13.0,16.333333333333332,892.0,22
2024,6,20,19,14,0.0,57.0,88.824,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,15.666666666666666,18.333333333333332,887.0,21
2024,7,1,1,1,25.0,63.0,75.762,75.176,74.746,0,0,0,0,0,0,0,0,1,0,1,1,1,23.0,1.3333333333333333,1.0,1567.0,33
2024,7,2,5,4,12.0,63.0,75.94,75.407,74.82,0,0,0,0,0,1,0,0,0,0,1,0,0,2.6666666666666665,9.666666666666666,5.666666666666667,1913.0,36
2024,7,3,2,2,18.0,63.0,75.915,75.371,74.837,0,0,0,0,0,1,0,0,0,0,1,0,1,17.666666666666668,2.6666666666666665,4.0,1009.0,28
2024,7,4,3,3,15.0,63.0,75.823,75.328,74.97,0,0,1,0,0,0,0,0,0,0,1,0,1,13.0,3.6666666666666665,5.333333333333333,342.0,10
2024,7,5,4,5,10.0,63.0,76.015,75.512,75.233,0,0,1,0,0,0,0,0,0,0,1,0,0,11.666666666666666,4.333333333333333,4.666666666666667,87.0,7
2024,7,6,6,7,7.0,63.0,76.107,75.671,75.234,0,0,0,0,0,0,1,0,0,0,1,0,0,6.0,7.0,8.0,707.0,18
2024,7,7,7,10,1.0,62.0,75.894,75.358,75.465,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3333333333333335,12.0,13.0,2326.0,46
2024,7,8,8,6,8.0,63.0,76.604,75.677,75.504,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,8.0,11.0,1268.0,29
2024,7,9,9,13,0.0,62.0,76.06,75.691,75.674,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,17.333333333333332,13.666666666666666,568.0,13
2024,7,10,10,11,0.0,62.0,75.841,75.569,75.98,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,10.666666666666666,10.0,1842.0,33
2024,7,11,11,8,4.0,63.0,76.404,75.706,999.0,0,0,0,0,0,0,0,0,1,0,1,0,0,15.0,3.0,2.6666666666666665,2266.0,40
2024,7,12,12,14,0.0,62.0,76.361,75.906,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,12.0,13.666666666666666,576.0,13
2024,7,13,13,9,2.0,63.0,76.458,75.992,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,14.666666666666666,12.666666666666666,914.0,25
2024,7,14,14,20,0.0,51.0,76.524,76.2,999.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,16.666666666666668,14.0,0.0,1
2024,7,15,15,16,0.0,62.0,76.015,76.381,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,13.666666666666666,14.666666666666666,2141.0,37
2024,7,16,16,18,0.0,62.0,76.626,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,16.666666666666668,13.0,2313.0,45
2024,7,17,17,15,0.0,62.0,76.834,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,15.333333333333334,18.666666666666668,887.0,21
